,song,placement,date,year,Percent Whole,hover
348,Savor,0.5,30-06-1990,1990,50.0,50.0% into Show
349,Savor,0.47619047619047616,17-07-1990,1990,47.62,47.62% into Show
350,Savor,0.42105263157894735,24-07-1990,1990,42.11,42.11% into Show
351,Savor,0.4,05-08-1990,1990,40.0,40.0% into Show
352,Savor,0.42857142857142855,06-08-1990,1990,42.86,42.86% into Show
353,Savor,0.35294117647058826,08-08-1990,1990,35.29,35.29% into Show
354,Savor,0.4090909090909091,09-08-1990,1990,40.91,40.91% into Show
355,Savor,0.375,11-08-1990,1990,37.5,37.5% into Show
356,Savor,0.375,12-08-1990,1990,37.5,37.5% into Show
357,Savor,0.42857142857142855,14-08-1990,1990,42.86,42.86% into Show
358,Savor,0.4,15-08-1990,1990,40.0,40.0% into Show
359,Savor,0.5,16-08-1990,1990,50.0,50.0% into Show
360,Savor,0.35294117647058826,17-08-1990,1990,35.29,35.29% into Show
361,Savor,0.4,18-08-1990,1990,40.0,40.0% into Show
362,Savor,0.375,21-08-1990,1990,37.5,37.5% into Show
363,Savor,0.5,22-08-1990,1990,50.0,50.0% into Show
364,Savor,0.5333333333333333,23-08-1990,1990,53.33,53.33% into Show
365,Savor,0.47058823529411764,24-08-1990,1990,47.06,47.06% into Show
366,Savor,0.47368421052631576,26-08-1990,1990,47.37,47.37% into Show
367,Savor,0.4,28-08-1990,1990,40.0,40.0% into Show
368,Savor,0.47058823529411764,30-08-1990,1990,47.06,47.06% into Show
369,Savor,0.375,31-08-1990,1990,37.5,37.5% into Show
370,Savor,0.5,01-09-1990,1990,50.0,50.0% into Show
371,Savor,0.4,02-09-1990,1990,40.0,40.0% into Show
372,Savor,0.4,15-09-1990,1990,40.0,40.0% into Show
373,Savor,0.42105263157894735,16-09-1990,1990,42.11,42.11% into Show
374,Savor,0.5714285714285714,05-10-1990,1990,57.14,57.14% into Show
375,Savor,0.8125,06-10-1990,1990,81.25,81.25% into Show
376,Savor,0.75,07-10-1990,1990,75.0,75.0% into Show
377,Savor,0.6666666666666666,09-10-1990,1990,66.67,66.67% into Show
378,Savor,0.4444444444444444,11-10-1990,1990,44.44,44.44% into Show
379,Savor,0.6153846153846154,12-10-1990,1990,61.54,61.54% into Show
380,Savor,0.4444444444444444,13-10-1990,1990,44.44,44.44% into Show
381,Savor,0.42105263157894735,14-10-1990,1990,42.11,42.11% into Show
382,Savor,0.47619047619047616,16-10-1990,1990,47.62,47.62% into Show
383,Savor,0.4444444444444444,18-10-1990,1990,44.44,44.44% into Show
384,Savor,0.42105263157894735,19-10-1990,1990,42.11,42.11% into Show
385,Savor,0.5714285714285714,20-10-1990,1990,57.14,57.14% into Show
386,Savor,0.45,02-11-1990,1990,45.0,45.0% into Show
387,Savor,0.4,03-11-1990,1990,40.0,40.0% into Show
388,Savor,0.5555555555555556,07-11-1990,1990,55.56,55.56% into Show
389,Savor,0.42105263157894735,09-11-1990,1990,42.11,42.11% into Show
390,Savor,0.5,10-11-1990,1990,50.0,50.0% into Show
391,Savor,0.7142857142857143,11-11-1990,1990,71.43,71.43% into Show
